,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
75,Western Bulldogs,5,Away,139,2022-04-15,Friday,4,Docklands,32162,2022,North Melbourne,Win,10,68,17,2
76,West Coast,5,Home,58,2022-04-15,Friday,6,Perth Stadium,42888,2022,Sydney,Loss,16,-63,5,1
77,Sydney,5,Away,121,2022-04-15,Friday,6,Perth Stadium,42888,2022,West Coast,Win,5,63,16,4
78,St Kilda,5,Home,87,2022-04-16,Saturday,2,Docklands,18724,2022,Gold Coast,Win,4,26,12,3
79,Gold Coast,5,Away,61,2022-04-16,Saturday,2,Docklands,18724,2022,St Kilda,Loss,12,-26,4,2
80,Adelaide,5,Home,101,2022-04-16,Saturday,4,Adelaide Oval,33031,2022,Richmond,Win,13,19,11,1
81,Richmond,5,Away,82,2022-04-16,Saturday,4,Adelaide Oval,33031,2022,Adelaide,Loss,11,-19,13,3
82,Melbourne,5,Home,120,2022-04-16,Saturday,7,MCG,20791,2022,Greater Western Sydney,Win,1,67,14,4
83,Greater Western Sydney,5,Away,53,2022-04-16,Saturday,7,MCG,20791,2022,Melbourne,Loss,14,-67,1,2
84,Carlton,5,Home,94,2022-04-17,Sunday,2,MCG,33433,2022,Port Adelaide,Win,6,3,18,3
85,Port Adelaide,5,Away,91,2022-04-17,Sunday,2,MCG,33433,2022,Carlton,Loss,18,-3,6,1
86,Essendon,5,Home,59,2022-04-17,Sunday,5,Docklands,23935,2022,Fremantle,Loss,15,-48,2,1
87,Fremantle,5,Away,107,2022-04-17,Sunday,5,Docklands,23935,2022,Essendon,Win,2,48,15,3
88,Hawthorn,5,Home,92,2022-04-18,Monday,3,MCG,48030,2022,Geelong,Win,8,12,7,3
89,Geelong,5,Away,80,2022-04-18,Monday,3,MCG,48030,2022,Hawthorn,Loss,7,-12,8,4
90,Greater Western Sydney,6,Home,60,2022-04-22,Friday,8,Manuka Oval,11207,2022,St Kilda,Loss,15,-17,5,1
91,St Kilda,6,Away,77,2022-04-22,Friday,8,Manuka Oval,11207,2022,Greater Western Sydney,Win,5,17,15,4
92,Western Bulldogs,6,Home,62,2022-04-23,Saturday,2,Eureka Stadium,10412,2022,Adelaide,Loss,11,-1,10,2
93,Adelaide,6,Away,63,2022-04-23,Saturday,2,Eureka Stadium,10412,2022,Western Bulldogs,Win,10,1,11,2
94,Port Adelaide,6,Home,117,2022-04-23,Saturday,4,Adelaide Oval,28587,2022,West Coast,Win,14,84,17,0
95,West Coast,6,Away,33,2022-04-23,Saturday,4,Adelaide Oval,28587,2022,Port Adelaide,Loss,17,-84,14,1
96,Fremantle,6,Home,97,2022-04-23,Saturday,6,Perth Stadium,42302,2022,Carlton,Win,2,35,7,4
97,Carlton,6,Away,62,2022-04-23,Saturday,6,Perth Stadium,42302,2022,Fremantle,Loss,7,-35,2,4
98,North Melbourne,6,Home,61,2022-04-24,Sunday,1,Bellerive Oval,8663,2022,Geelong,Loss,18,-60,6,1
99,Geelong,6,Away,121,2022-04-24,Sunday,1,Bellerive Oval,8663,2022,North Melbourne,Win,6,60,18,3
100,Gold Coast,6,Home,80,2022-04-24,Sunday,4,Carrara,14987,2022,Brisbane Lions,Loss,13,-52,3,2
