,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
2128,Hawthorn,8,Home,116,2016-05-14,Saturday,2,York Park,12012,2016,Fremantle,Win,6,41,18,4
2129,Fremantle,8,Away,75,2016-05-14,Saturday,2,York Park,12012,2016,Hawthorn,Loss,18,-41,6,0
2130,Greater Western Sydney,8,Home,149,2016-05-14,Saturday,5,Sydney Showground,8308,2016,Gold Coast,Win,3,91,13,4
2131,Gold Coast,8,Away,58,2016-05-14,Saturday,5,Sydney Showground,8308,2016,Greater Western Sydney,Loss,13,-91,3,1
2132,Brisbane Lions,8,Home,65,2016-05-14,Saturday,7,Gabba,24552,2016,Collingwood,Loss,16,-78,12,1
2133,Collingwood,8,Away,143,2016-05-14,Saturday,7,Gabba,24552,2016,Brisbane Lions,Win,12,78,16,1
2134,Richmond,8,Home,101,2016-05-14,Saturday,7,MCG,36014,2016,Sydney,Win,15,1,4,0
2135,Sydney,8,Away,100,2016-05-14,Saturday,7,MCG,36014,2016,Richmond,Loss,4,-1,15,4
2136,Carlton,8,Home,93,2016-05-15,Sunday,1,Docklands,26924,2016,Port Adelaide,Win,11,2,10,3
2137,Port Adelaide,8,Away,91,2016-05-15,Sunday,1,Docklands,26924,2016,Carlton,Loss,10,-2,11,3
2138,Melbourne,8,Home,82,2016-05-15,Sunday,3,MCG,39921,2016,Western Bulldogs,Loss,9,-32,5,3
2139,Western Bulldogs,8,Away,114,2016-05-15,Sunday,3,MCG,39921,2016,Melbourne,Win,5,32,9,3
2140,West Coast,8,Home,132,2016-05-15,Sunday,3,Subiaco,36140,2016,St Kilda,Win,7,103,14,3
2141,St Kilda,8,Away,29,2016-05-15,Sunday,3,Subiaco,36140,2016,West Coast,Loss,14,-103,7,2
2142,Hawthorn,9,Home,55,2016-05-20,Friday,8,MCG,61552,2016,Sydney,Loss,7,-14,4,4
2143,Sydney,9,Away,69,2016-05-20,Friday,8,MCG,61552,2016,Hawthorn,Win,4,14,7,3
2144,Collingwood,9,Home,104,2016-05-21,Saturday,2,MCG,59864,2016,Geelong,Win,11,24,2,2
2145,Geelong,9,Away,80,2016-05-21,Saturday,2,MCG,59864,2016,Collingwood,Loss,2,-24,11,5
2146,Gold Coast,9,Home,74,2016-05-21,Saturday,2,Carrara,11692,2016,Adelaide,Loss,15,-75,8,0
2147,Adelaide,9,Away,149,2016-05-21,Saturday,2,Carrara,11692,2016,Gold Coast,Win,8,75,15,2
2148,Port Adelaide,9,Home,86,2016-05-21,Saturday,4,Adelaide Oval,38695,2016,West Coast,Loss,10,-8,6,2
2149,West Coast,9,Away,94,2016-05-21,Saturday,4,Adelaide Oval,38695,2016,Port Adelaide,Win,6,8,10,3
2150,North Melbourne,9,Home,113,2016-05-21,Saturday,7,Docklands,38419,2016,Carlton,Win,1,67,12,5
2151,Carlton,9,Away,46,2016-05-21,Saturday,7,Docklands,38419,2016,North Melbourne,Loss,12,-67,1,4
2152,Fremantle,9,Home,45,2016-05-21,Saturday,6,Subiaco,20184,2016,Richmond,Loss,18,-38,14,0
2153,Richmond,9,Away,83,2016-05-21,Saturday,6,Subiaco,20184,2016,Fremantle,Win,14,38,18,1
2154,Melbourne,9,Home,131,2016-05-22,Sunday,1,MCG,26892,2016,Brisbane Lions,Win,9,63,16,3
2155,Brisbane Lions,9,Away,68,2016-05-22,Sunday,1,MCG,26892,2016,Melbourne,Loss,16,-63,9,1
2156,Greater Western Sydney,9,Home,98,2016-05-22,Sunday,3,Sydney Showground,9612,2016,Western Bulldogs,Win,3,25,5,5
2157,Western Bulldogs,9,Away,73,2016-05-22,Sunday,3,Sydney Showground,9612,2016,Greater Western Sydney,Loss,5,-25,3,4
2158,St Kilda,9,Home,109,2016-05-22,Sunday,5,Docklands,29026,2016,Essendon,Win,13,46,17,1
2159,Essendon,9,Away,63,2016-05-22,Sunday,5,Docklands,29026,2016,St Kilda,Loss,17,-46,13,0
2160,Sydney,10,Home,91,2016-05-27,Friday,8,SCG,38498,2016,North Melbourne,Win,2,26,1,4
2161,North Melbourne,10,Away,65,2016-05-27,Friday,8,SCG,38498,2016,Sydney,Loss,1,-26,2,5
2162,Brisbane Lions,10,Home,87,2016-05-28,Saturday,2,Gabba,23691,2016,Hawthorn,Loss,16,-48,7,0
2163,Hawthorn,10,Away,135,2016-05-28,Saturday,2,Gabba,23691,2016,Brisbane Lions,Win,7,48,16,3
2164,Melbourne,10,Home,76,2016-05-28,Saturday,2,Traeger Park,5146,2016,Port Adelaide,Loss,9,-45,10,3
2165,Port Adelaide,10,Away,121,2016-05-28,Saturday,2,Traeger Park,5146,2016,Melbourne,Win,10,45,9,2
2166,St Kilda,10,Home,101,2016-05-28,Saturday,5,Docklands,17927,2016,Fremantle,Win,13,34,18,2
2167,Fremantle,10,Away,67,2016-05-28,Saturday,5,Docklands,17927,2016,St Kilda,Loss,18,-34,13,0
2168,Essendon,10,Home,67,2016-05-28,Saturday,7,MCG,56948,2016,Richmond,Loss,17,-38,14,0
2169,Richmond,10,Away,105,2016-05-28,Saturday,7,MCG,56948,2016,Essendon,Win,14,38,17,2
2170,Adelaide,10,Home,107,2016-05-28,Saturday,7,Adelaide Oval,46737,2016,Greater Western Sydney,Win,8,22,4,2
2171,Greater Western Sydney,10,Away,85,2016-05-28,Saturday,7,Adelaide Oval,46737,2016,Adelaide,Loss,4,-22,8,5
2172,Carlton,10,Home,104,2016-05-29,Sunday,1,Docklands,33535,2016,Geelong,Win,11,19,3,4
2173,Geelong,10,Away,85,2016-05-29,Sunday,1,Docklands,33535,2016,Carlton,Loss,3,-19,11,4
2174,Collingwood,10,Home,53,2016-05-29,Sunday,3,MCG,45078,2016,Western Bulldogs,Loss,12,-21,6,3
2175,Western Bulldogs,10,Away,74,2016-05-29,Sunday,3,MCG,45078,2016,Collingwood,Win,6,21,12,3
2176,West Coast,10,Home,132,2016-05-29,Sunday,3,Subiaco,34945,2016,Gold Coast,Win,5,77,15,3
2177,Gold Coast,10,Away,55,2016-05-29,Sunday,3,Subiaco,34945,2016,West Coast,Loss,15,-77,5,0
2178,North Melbourne,11,Home,124,2016-06-03,Friday,8,Bellerive Oval,17844,2016,Richmond,Win,1,70,14,4
2179,Richmond,11,Away,54,2016-06-03,Friday,8,Bellerive Oval,17844,2016,North Melbourne,Loss,14,-70,1,3
2180,Hawthorn,11,Home,82,2016-06-04,Saturday,2,MCG,41833,2016,Melbourne,Win,5,18,11,3
2181,Melbourne,11,Away,64,2016-06-04,Saturday,2,MCG,41833,2016,Hawthorn,Loss,11,-18,5,2
2182,Carlton,11,Home,102,2016-06-04,Saturday,2,Docklands,30722,2016,Brisbane Lions,Win,10,38,17,4
2183,Brisbane Lions,11,Away,64,2016-06-04,Saturday,2,Docklands,30722,2016,Carlton,Loss,17,-38,10,0
2184,Geelong,11,Home,98,2016-06-04,Saturday,5,Kardinia Park,22007,2016,Greater Western Sydney,Win,3,10,6,3
2185,Greater Western Sydney,11,Away,88,2016-06-04,Saturday,5,Kardinia Park,22007,2016,Geelong,Loss,6,-10,3,4
2186,Gold Coast,11,Home,41,2016-06-04,Saturday,7,Carrara,4368,2016,Sydney,Loss,15,-38,2,0
2187,Sydney,11,Away,79,2016-06-04,Saturday,7,Carrara,4368,2016,Gold Coast,Win,2,38,15,4
2188,Fremantle,11,Home,126,2016-06-04,Saturday,6,Subiaco,31199,2016,Essendon,Win,16,79,18,0
2189,Essendon,11,Away,47,2016-06-04,Saturday,6,Subiaco,31199,2016,Fremantle,Loss,18,-79,16,0
2190,Collingwood,11,Home,58,2016-06-05,Sunday,1,MCG,28567,2016,Port Adelaide,Loss,12,-67,9,2
2191,Port Adelaide,11,Away,125,2016-06-05,Sunday,1,MCG,28567,2016,Collingwood,Win,9,67,12,3
2192,Western Bulldogs,11,Home,83,2016-06-05,Sunday,3,Docklands,28769,2016,West Coast,Win,4,8,7,3
2193,West Coast,11,Away,75,2016-06-05,Sunday,3,Docklands,28769,2016,Western Bulldogs,Loss,7,-8,4,4
2194,Adelaide,11,Home,133,2016-06-05,Sunday,4,Adelaide Oval,40896,2016,St Kilda,Win,8,88,13,3
2195,St Kilda,11,Away,45,2016-06-05,Sunday,4,Adelaide Oval,40896,2016,Adelaide,Loss,13,-88,8,3
2196,Essendon,12,Home,43,2016-06-10,Friday,8,Docklands,27567,2016,Hawthorn,Loss,18,-108,5,0
2197,Hawthorn,12,Away,151,2016-06-10,Friday,8,Docklands,27567,2016,Essendon,Win,5,108,18,4
2198,Port Adelaide,12,Home,97,2016-06-11,Saturday,1,Adelaide Oval,40096,2016,Western Bulldogs,Loss,9,-3,4,3
2199,Western Bulldogs,12,Away,100,2016-06-11,Saturday,1,Adelaide Oval,40096,2016,Port Adelaide,Win,4,3,9,4
2200,Brisbane Lions,12,Home,64,2016-06-11,Saturday,5,Gabba,12899,2016,Fremantle,Loss,17,-83,16,0
2201,Fremantle,12,Away,147,2016-06-11,Saturday,5,Gabba,12899,2016,Brisbane Lions,Win,16,83,17,1
2202,Geelong,12,Home,105,2016-06-11,Saturday,7,Docklands,44025,2016,North Melbourne,Win,2,31,1,3
2203,North Melbourne,12,Away,74,2016-06-11,Saturday,7,Docklands,44025,2016,Geelong,Loss,1,-31,2,4
2204,West Coast,12,Home,76,2016-06-11,Saturday,6,Subiaco,37591,2016,Adelaide,Loss,8,-29,7,3
2205,Adelaide,12,Away,105,2016-06-11,Saturday,6,Subiaco,37591,2016,West Coast,Win,7,29,8,3
2206,St Kilda,12,Home,110,2016-06-12,Sunday,1,Docklands,47945,2016,Carlton,Win,12,32,11,2
2207,Carlton,12,Away,78,2016-06-12,Sunday,1,Docklands,47945,2016,St Kilda,Loss,11,-32,12,4
2208,Richmond,12,Home,114,2016-06-12,Sunday,3,MCG,30448,2016,Gold Coast,Win,13,17,15,3
2209,Gold Coast,12,Away,97,2016-06-12,Sunday,3,MCG,30448,2016,Richmond,Loss,15,-17,13,0
2210,Greater Western Sydney,12,Home,105,2016-06-12,Sunday,5,Sydney Showground,21541,2016,Sydney,Win,6,42,3,3
2211,Sydney,12,Away,63,2016-06-12,Sunday,5,Sydney Showground,21541,2016,Greater Western Sydney,Loss,3,-42,6,4
2212,Melbourne,12,Home,104,2016-06-13,Monday,3,MCG,60158,2016,Collingwood,Win,10,46,14,2
2213,Collingwood,12,Away,58,2016-06-13,Monday,3,MCG,60158,2016,Melbourne,Loss,14,-46,10,2
2214,North Melbourne,13,Home,84,2016-06-17,Friday,8,Docklands,37073,2016,Hawthorn,Loss,3,-9,4,3
2215,Hawthorn,13,Away,93,2016-06-17,Friday,8,Docklands,37073,2016,North Melbourne,Win,4,9,3,4
2216,Brisbane Lions,13,Home,82,2016-06-18,Saturday,2,Gabba,12777,2016,West Coast,Loss,17,-49,7,0
2217,West Coast,13,Away,131,2016-06-18,Saturday,2,Gabba,12777,2016,Brisbane Lions,Win,7,49,17,3
2218,Fremantle,13,Home,86,2016-06-18,Saturday,3,Subiaco,32448,2016,Port Adelaide,Win,15,17,9,2
2219,Port Adelaide,13,Away,69,2016-06-18,Saturday,3,Subiaco,32448,2016,Fremantle,Loss,9,-17,15,2
2220,Western Bulldogs,13,Home,43,2016-06-18,Saturday,7,Docklands,41725,2016,Geelong,Loss,6,-57,1,4
2221,Geelong,13,Away,100,2016-06-18,Saturday,7,Docklands,41725,2016,Western Bulldogs,Win,1,57,6,3
2222,Sydney,13,Home,86,2016-06-19,Sunday,1,SCG,19086,2016,Melbourne,Win,2,55,10,3
2223,Melbourne,13,Away,31,2016-06-19,Sunday,1,SCG,19086,2016,Sydney,Loss,10,-55,2,2
2224,Essendon,13,Home,90,2016-06-19,Sunday,5,Docklands,14463,2016,Greater Western Sydney,Loss,18,-27,5,0
2225,Greater Western Sydney,13,Away,117,2016-06-19,Sunday,5,Docklands,14463,2016,Essendon,Win,5,27,18,3
2226,Adelaide,14,Home,100,2016-06-23,Thursday,7,Adelaide Oval,37890,2016,North Melbourne,Win,6,33,5,4
2227,North Melbourne,14,Away,67,2016-06-23,Thursday,7,Adelaide Oval,37890,2016,Adelaide,Loss,5,-33,6,2
2228,Collingwood,14,Home,85,2016-06-24,Friday,8,MCG,20320,2016,Fremantle,Win,14,48,15,2
2229,Fremantle,14,Away,37,2016-06-24,Friday,8,MCG,20320,2016,Collingwood,Loss,15,-48,14,3
2230,Richmond,14,Home,117,2016-06-25,Saturday,2,MCG,28883,2016,Brisbane Lions,Win,11,42,17,4
2231,Brisbane Lions,14,Away,75,2016-06-25,Saturday,2,MCG,28883,2016,Richmond,Loss,17,-42,11,0
2232,Greater Western Sydney,14,Home,127,2016-06-25,Saturday,5,Sydney Showground,10355,2016,Carlton,Win,4,62,13,3
2233,Carlton,14,Away,65,2016-06-25,Saturday,5,Sydney Showground,10355,2016,Greater Western Sydney,Loss,13,-62,4,3
2234,St Kilda,14,Home,93,2016-06-25,Saturday,7,Docklands,28745,2016,Geelong,Win,12,3,3,3
2235,Geelong,14,Away,90,2016-06-25,Saturday,7,Docklands,28745,2016,St Kilda,Loss,3,-3,12,3
2236,Hawthorn,14,Home,86,2016-06-26,Sunday,3,York Park,10121,2016,Gold Coast,Win,1,26,16,4
2237,Gold Coast,14,Away,60,2016-06-26,Sunday,3,York Park,10121,2016,Hawthorn,Loss,16,-26,1,0
2238,West Coast,15,Home,130,2016-06-30,Thursday,6,Subiaco,33117,2016,Essendon,Win,8,78,18,3
2239,Essendon,15,Away,52,2016-06-30,Thursday,6,Subiaco,33117,2016,West Coast,Loss,18,-78,8,0
2240,Port Adelaide,15,Home,94,2016-07-01,Friday,7,Adelaide Oval,37848,2016,Richmond,Win,9,38,12,2
2241,Richmond,15,Away,56,2016-07-01,Friday,7,Adelaide Oval,37848,2016,Port Adelaide,Loss,12,-38,9,4
2242,Gold Coast,15,Home,108,2016-07-02,Saturday,2,Carrara,14071,2016,St Kilda,Win,15,40,13,0
2243,St Kilda,15,Away,68,2016-07-02,Saturday,2,Carrara,14071,2016,Gold Coast,Loss,13,-40,15,4
2244,Sydney,15,Home,79,2016-07-02,Saturday,5,SCG,33386,2016,Western Bulldogs,Loss,4,-4,6,4
2245,Western Bulldogs,15,Away,83,2016-07-02,Saturday,5,SCG,33386,2016,Sydney,Win,6,4,4,3
2246,Carlton,15,Home,45,2016-07-02,Saturday,7,MCG,56157,2016,Collingwood,Loss,14,-12,11,2
2247,Collingwood,15,Away,57,2016-07-02,Saturday,7,MCG,56157,2016,Carlton,Win,11,12,14,2
2248,Melbourne,15,Home,98,2016-07-03,Sunday,3,MCG,29133,2016,Adelaide,Loss,10,-22,5,2
2249,Adelaide,15,Away,120,2016-07-03,Sunday,3,MCG,29133,2016,Melbourne,Win,5,22,10,5
2250,Port Adelaide,16,Home,79,2016-07-07,Thursday,7,Adelaide Oval,43025,2016,Hawthorn,Loss,9,-22,1,3
2251,Hawthorn,16,Away,101,2016-07-07,Thursday,7,Adelaide Oval,43025,2016,Port Adelaide,Win,1,22,9,5
2252,Geelong,16,Home,60,2016-07-08,Friday,8,Kardinia Park,24339,2016,Sydney,Loss,6,-38,2,3
2253,Sydney,16,Away,98,2016-07-08,Friday,8,Kardinia Park,24339,2016,Geelong,Win,2,38,6,3
2254,Greater Western Sydney,16,Home,93,2016-07-09,Saturday,2,Sydney Showground,13483,2016,Collingwood,Loss,7,-32,11,3
2255,Collingwood,16,Away,125,2016-07-09,Saturday,2,Sydney Showground,13483,2016,Greater Western Sydney,Win,11,32,7,2
2256,Gold Coast,16,Home,139,2016-07-09,Saturday,5,Carrara,13528,2016,Brisbane Lions,Win,15,26,17,1
2257,Brisbane Lions,16,Away,113,2016-07-09,Saturday,5,Carrara,13528,2016,Gold Coast,Loss,17,-26,15,0
2258,Western Bulldogs,16,Home,85,2016-07-09,Saturday,7,Docklands,39679,2016,Richmond,Win,4,10,13,4
2259,Richmond,16,Away,75,2016-07-09,Saturday,7,Docklands,39679,2016,Western Bulldogs,Loss,13,-10,4,3
2260,Melbourne,16,Home,87,2016-07-09,Saturday,7,Marrara Oval,8163,2016,Fremantle,Win,10,32,16,1
2261,Fremantle,16,Away,55,2016-07-09,Saturday,7,Marrara Oval,8163,2016,Melbourne,Loss,16,-32,10,3
2262,Carlton,16,Home,47,2016-07-10,Sunday,1,MCG,32430,2016,Adelaide,Loss,14,-60,3,2
2263,Adelaide,16,Away,107,2016-07-10,Sunday,1,MCG,32430,2016,Carlton,Win,3,60,14,5
2264,West Coast,16,Home,104,2016-07-10,Sunday,1,Subiaco,35618,2016,North Melbourne,Win,5,32,8,3
2265,North Melbourne,16,Away,72,2016-07-10,Sunday,1,Subiaco,35618,2016,West Coast,Loss,8,-32,5,1
2266,Essendon,16,Home,98,2016-07-10,Sunday,5,Docklands,25204,2016,St Kilda,Loss,18,-11,12,0
2267,St Kilda,16,Away,109,2016-07-10,Sunday,5,Docklands,25204,2016,Essendon,Win,12,11,18,3
2268,Sydney,17,Home,70,2016-07-14,Thursday,7,SCG,42314,2016,Hawthorn,Loss,5,-5,1,3
2269,Hawthorn,17,Away,75,2016-07-14,Thursday,7,SCG,42314,2016,Sydney,Win,1,5,5,5
2270,Fremantle,17,Home,61,2016-07-15,Friday,6,Subiaco,31042,2016,Geelong,Loss,16,-17,7,3
2271,Geelong,17,Away,78,2016-07-15,Friday,6,Subiaco,31042,2016,Fremantle,Win,7,17,16,3
2272,Richmond,17,Home,102,2016-07-16,Saturday,2,MCG,44908,2016,Essendon,Win,13,19,18,2
2273,Essendon,17,Away,83,2016-07-16,Saturday,2,MCG,44908,2016,Richmond,Loss,18,-19,13,0
2274,North Melbourne,17,Home,77,2016-07-16,Saturday,5,Docklands,24361,2016,Port Adelaide,Loss,8,-28,9,1
2275,Port Adelaide,17,Away,105,2016-07-16,Saturday,5,Docklands,24361,2016,North Melbourne,Win,9,28,8,2
2276,Western Bulldogs,17,Home,107,2016-07-16,Saturday,7,Cazaly's Stadium,8509,2016,Gold Coast,Win,3,48,15,4
2277,Gold Coast,17,Away,59,2016-07-16,Saturday,7,Cazaly's Stadium,8509,2016,Western Bulldogs,Loss,15,-48,3,2
2278,Adelaide,17,Home,97,2016-07-16,Saturday,7,Adelaide Oval,50002,2016,Collingwood,Win,2,28,12,5
2279,Collingwood,17,Away,69,2016-07-16,Saturday,7,Adelaide Oval,50002,2016,Adelaide,Loss,12,-28,2,3
2280,Carlton,17,Home,75,2016-07-17,Sunday,1,MCG,26389,2016,West Coast,Loss,14,-7,6,1
2281,West Coast,17,Away,82,2016-07-17,Sunday,1,MCG,26389,2016,Carlton,Win,6,7,14,3
2282,St Kilda,17,Home,110,2016-07-17,Sunday,3,Docklands,25322,2016,Melbourne,Win,10,36,11,3
2283,Melbourne,17,Away,74,2016-07-17,Sunday,3,Docklands,25322,2016,St Kilda,Loss,11,-36,10,2
2284,Brisbane Lions,17,Home,67,2016-07-17,Sunday,5,Gabba,10195,2016,Greater Western Sydney,Loss,17,-79,4,0
2285,Greater Western Sydney,17,Away,146,2016-07-17,Sunday,5,Gabba,10195,2016,Brisbane Lions,Win,4,79,17,3
2286,Collingwood,18,Home,84,2016-07-22,Friday,8,Docklands,36041,2016,North Melbourne,Loss,12,-40,8,3
2287,North Melbourne,18,Away,124,2016-07-22,Friday,8,Docklands,36041,2016,Collingwood,Win,8,40,12,0
2288,Sydney,18,Home,74,2016-07-23,Saturday,2,SCG,31765,2016,Carlton,Win,3,6,14,2
2289,Carlton,18,Away,68,2016-07-23,Saturday,2,SCG,31765,2016,Sydney,Loss,14,-6,3,0
2290,Gold Coast,18,Home,105,2016-07-23,Saturday,2,Carrara,8933,2016,Fremantle,Win,15,24,16,2
2291,Fremantle,18,Away,81,2016-07-23,Saturday,2,Carrara,8933,2016,Gold Coast,Loss,16,-24,15,2
2292,West Coast,18,Home,66,2016-07-23,Saturday,3,Subiaco,33908,2016,Melbourne,Win,5,6,11,4
2293,Melbourne,18,Away,60,2016-07-23,Saturday,3,Subiaco,33908,2016,West Coast,Loss,11,-6,5,2
2294,Geelong,18,Home,85,2016-07-23,Saturday,7,Kardinia Park,21127,2016,Adelaide,Win,4,30,6,3
2295,Adelaide,18,Away,55,2016-07-23,Saturday,7,Kardinia Park,21127,2016,Geelong,Loss,6,-30,4,5
2296,Western Bulldogs,18,Home,60,2016-07-23,Saturday,7,Docklands,26532,2016,St Kilda,Loss,7,-15,9,4
2297,St Kilda,18,Away,75,2016-07-23,Saturday,7,Docklands,26532,2016,Western Bulldogs,Win,9,15,7,4
2298,Essendon,18,Home,91,2016-07-24,Sunday,1,Docklands,34869,2016,Brisbane Lions,Loss,18,-37,17,0
2299,Brisbane Lions,18,Away,128,2016-07-24,Sunday,1,Docklands,34869,2016,Essendon,Win,17,37,18,0
2300,Hawthorn,18,Home,114,2016-07-24,Sunday,3,MCG,51892,2016,Richmond,Win,1,70,13,5
2301,Richmond,18,Away,44,2016-07-24,Sunday,3,MCG,51892,2016,Hawthorn,Loss,13,-70,1,3
2302,Port Adelaide,18,Home,60,2016-07-24,Sunday,4,Adelaide Oval,27935,2016,Greater Western Sydney,Loss,10,-19,2,2
2303,Greater Western Sydney,18,Away,79,2016-07-24,Sunday,4,Adelaide Oval,27935,2016,Port Adelaide,Win,2,19,10,4
2304,Geelong,19,Home,103,2016-07-29,Friday,8,Kardinia Park,24331,2016,Western Bulldogs,Win,4,25,7,3
2305,Western Bulldogs,19,Away,78,2016-07-29,Friday,8,Kardinia Park,24331,2016,Geelong,Loss,7,-25,4,3
2306,Greater Western Sydney,19,Home,111,2016-07-30,Saturday,2,Manuka Oval,14974,2016,Richmond,Win,2,88,13,4
2307,Richmond,19,Away,23,2016-07-30,Saturday,2,Manuka Oval,14974,2016,Greater Western Sydney,Loss,13,-88,2,2
2308,Hawthorn,19,Home,74,2016-07-30,Saturday,2,York Park,18112,2016,Carlton,Win,1,19,15,5
2309,Carlton,19,Away,55,2016-07-30,Saturday,2,York Park,18112,2016,Hawthorn,Loss,15,-19,1,0
2310,Collingwood,19,Home,91,2016-07-30,Saturday,5,MCG,34929,2016,West Coast,Win,12,19,6,3
2311,West Coast,19,Away,72,2016-07-30,Saturday,5,MCG,34929,2016,Collingwood,Loss,6,-19,12,5
2312,North Melbourne,19,Home,85,2016-07-30,Saturday,7,Docklands,44287,2016,St Kilda,Win,8,23,10,1
2313,St Kilda,19,Away,62,2016-07-30,Saturday,7,Docklands,44287,2016,North Melbourne,Loss,10,-23,8,4
2314,Brisbane Lions,19,Home,79,2016-07-30,Saturday,7,Gabba,13085,2016,Port Adelaide,Loss,17,-94,9,1
2315,Port Adelaide,19,Away,173,2016-07-30,Saturday,7,Gabba,13085,2016,Brisbane Lions,Win,9,94,17,2
2316,Melbourne,19,Home,66,2016-07-31,Sunday,1,MCG,20627,2016,Gold Coast,Win,11,2,14,1
2317,Gold Coast,19,Away,64,2016-07-31,Sunday,1,MCG,20627,2016,Melbourne,Loss,14,-2,11,3
2318,Fremantle,19,Home,47,2016-07-31,Sunday,1,Subiaco,32401,2016,Sydney,Loss,16,-90,3,1
2319,Sydney,19,Away,137,2016-07-31,Sunday,1,Subiaco,32401,2016,Fremantle,Win,3,90,16,3
2320,Adelaide,19,Home,143,2016-07-31,Sunday,4,Adelaide Oval,44264,2016,Essendon,Win,5,82,18,4
2321,Essendon,19,Away,61,2016-07-31,Sunday,4,Adelaide Oval,44264,2016,Adelaide,Loss,18,-82,5,0
2322,Richmond,20,Home,92,2016-08-05,Friday,8,MCG,49122,2016,Collingwood,Win,13,15,12,1
2323,Collingwood,20,Away,77,2016-08-05,Friday,8,MCG,49122,2016,Richmond,Loss,12,-15,13,3
2324,Sydney,20,Home,100,2016-08-06,Saturday,2,SCG,30204,2016,Port Adelaide,Win,2,67,10,3
2325,Port Adelaide,20,Away,33,2016-08-06,Saturday,2,SCG,30204,2016,Sydney,Loss,10,-67,2,3
2326,Melbourne,20,Home,110,2016-08-06,Saturday,2,MCG,38818,2016,Hawthorn,Win,11,29,1,2
2327,Hawthorn,20,Away,81,2016-08-06,Saturday,2,MCG,38818,2016,Melbourne,Loss,1,-29,11,5
2328,Gold Coast,20,Home,84,2016-08-06,Saturday,5,Carrara,9108,2016,Greater Western Sydney,Loss,14,-8,4,3
2329,Greater Western Sydney,20,Away,92,2016-08-06,Saturday,5,Carrara,9108,2016,Gold Coast,Win,4,8,14,4
2330,Western Bulldogs,20,Home,61,2016-08-06,Saturday,7,Docklands,30740,2016,North Melbourne,Win,7,14,8,3
2331,North Melbourne,20,Away,47,2016-08-06,Saturday,7,Docklands,30740,2016,Western Bulldogs,Loss,8,-14,7,2
2332,Adelaide,20,Home,177,2016-08-06,Saturday,7,Adelaide Oval,43549,2016,Brisbane Lions,Win,3,138,17,4
2333,Brisbane Lions,20,Away,39,2016-08-06,Saturday,7,Adelaide Oval,43549,2016,Adelaide,Loss,17,-138,3,1
2334,Carlton,20,Home,51,2016-08-07,Sunday,1,MCG,37797,2016,St Kilda,Loss,15,-71,9,0
2335,St Kilda,20,Away,122,2016-08-07,Sunday,1,MCG,37797,2016,Carlton,Win,9,71,15,3
2336,Geelong,20,Home,100,2016-08-07,Sunday,3,Docklands,29254,2016,Essendon,Win,5,66,18,3
2337,Essendon,20,Away,34,2016-08-07,Sunday,3,Docklands,29254,2016,Geelong,Loss,18,-66,5,0
2338,Fremantle,20,Home,64,2016-08-07,Sunday,3,Subiaco,36215,2016,West Coast,Loss,16,-46,6,0
2339,West Coast,20,Away,110,2016-08-07,Sunday,3,Subiaco,36215,2016,Fremantle,Win,6,46,16,4
2340,Western Bulldogs,21,Home,95,2016-08-12,Friday,8,Docklands,35010,2016,Collingwood,Win,7,3,12,3
2341,Collingwood,21,Away,92,2016-08-12,Friday,8,Docklands,35010,2016,Western Bulldogs,Loss,12,-3,7,2
2342,Brisbane Lions,21,Home,99,2016-08-13,Saturday,2,Gabba,17432,2016,Carlton,Win,17,4,15,1
2343,Carlton,21,Away,95,2016-08-13,Saturday,2,Gabba,17432,2016,Brisbane Lions,Loss,15,-4,17,0
2344,Hawthorn,21,Home,96,2016-08-13,Saturday,2,MCG,50657,2016,North Melbourne,Win,1,39,8,4
2345,North Melbourne,21,Away,57,2016-08-13,Saturday,2,MCG,50657,2016,Hawthorn,Loss,8,-39,1,2
2346,Greater Western Sydney,21,Home,96,2016-08-13,Saturday,5,Sydney Showground,10385,2016,West Coast,Loss,5,-1,6,4
2347,West Coast,21,Away,97,2016-08-13,Saturday,5,Sydney Showground,10385,2016,Greater Western Sydney,Win,6,1,5,4
2348,St Kilda,21,Home,76,2016-08-13,Saturday,7,Docklands,33059,2016,Sydney,Loss,10,-70,2,4
2349,Sydney,21,Away,146,2016-08-13,Saturday,7,Docklands,33059,2016,St Kilda,Win,2,70,10,4
2350,Port Adelaide,21,Home,54,2016-08-13,Saturday,7,Adelaide Oval,33426,2016,Melbourne,Loss,11,-40,9,2
2351,Melbourne,21,Away,94,2016-08-13,Saturday,7,Adelaide Oval,33426,2016,Port Adelaide,Win,9,40,11,3
2352,Essendon,21,Home,75,2016-08-14,Sunday,1,Docklands,16622,2016,Gold Coast,Win,18,6,14,0
2353,Gold Coast,21,Away,69,2016-08-14,Sunday,1,Docklands,16622,2016,Essendon,Loss,14,-6,18,2
2354,Richmond,21,Home,78,2016-08-14,Sunday,3,MCG,45667,2016,Geelong,Loss,13,-4,4,2
2355,Geelong,21,Away,82,2016-08-14,Sunday,3,MCG,45667,2016,Richmond,Win,4,4,13,4
2356,Fremantle,21,Home,70,2016-08-14,Sunday,3,Subiaco,30116,2016,Adelaide,Loss,16,-72,3,0
